drug	disease	CSH	AJG	PK	CSH_notes	AJG_notes	PK_notes	google	uptodate	drug_url	disease_url	tie	3-person consensus	pouya agreed with at least one person
Cytarabine	colon cancer	NOT	DM	NOT			only for heme-cancers as far as I know	https://www.google.com/webhp#q=Cytarabine	http://www.uptodate.com/contents/search?search=Cytarabine	http://www.drugbank.ca/drugs/DB00987	http://www.disease-ontology.org/term/DOID%3A219	TRUE	FALSE	TRUE
Dactinomycin	peripheral nervous system neoplasm	DM	NOT	DM			"can treat sarcomas, should work"	https://www.google.com/webhp#q=Dactinomycin	http://www.uptodate.com/contents/search?search=Dactinomycin	http://www.drugbank.ca/drugs/DB00970	http://www.disease-ontology.org/term/DOID%3A1192	TRUE	FALSE	TRUE
Dapsone	systemic lupus erythematosus	DM	NOT	DM			for cutaneous lupus (found in 90% of systemic patients at some point)	https://www.google.com/webhp#q=Dapsone	http://www.uptodate.com/contents/search?search=Dapsone	http://www.drugbank.ca/drugs/DB00250	http://www.disease-ontology.org/term/DOID%3A9074	TRUE	FALSE	TRUE
Deferiprone	anemia	DM	SYM	NOT				https://www.google.com/webhp#q=Deferiprone	http://www.uptodate.com/contents/search?search=Deferiprone	http://www.drugbank.ca/drugs/DB08826	http://www.disease-ontology.org/term/DOID%3A2355	TRUE	FALSE	FALSE
Deferoxamine	chronic kidney failure	SYM	NOT	SYM		Used to treat side effect	"made all of these ""SYM"" to be self-consistent, CSH and AJG usually agreed"	https://www.google.com/webhp#q=Deferoxamine	http://www.uptodate.com/contents/search?search=Deferoxamine	http://www.drugbank.ca/drugs/DB00746	http://www.disease-ontology.org/term/DOID%3A784	TRUE	FALSE	TRUE
Desloratadine	allergic rhinitis	DM	SYM	DM	im having a hard time with allergic rhinitis. Maybe all of these meds are SYM.		see note on antihistamines and steroids in allergic rhinitis	https://www.google.com/webhp#q=Desloratadine	http://www.uptodate.com/contents/search?search=Desloratadine	http://www.drugbank.ca/drugs/DB00967	http://www.disease-ontology.org/term/DOID%3A4481	TRUE	FALSE	TRUE
Desogestrel	polycystic ovary syndrome	SYM	DM	SYM			agree with CSH that these don't change downstream biology of disease	https://www.google.com/webhp#q=Desogestrel	http://www.uptodate.com/contents/search?search=Desogestrel	http://www.drugbank.ca/drugs/DB00304	http://www.disease-ontology.org/term/DOID%3A11612	TRUE	FALSE	TRUE
Desonide	atopic dermatitis	SYM	DM	DM			see notes on atopic dermatitis	https://www.google.com/webhp#q=Desonide	http://www.uptodate.com/contents/search?search=Desonide	http://www.drugbank.ca/drugs/DB01260	http://www.disease-ontology.org/term/DOID%3A3310	TRUE	FALSE	TRUE
Dexamethasone	allergic rhinitis	SYM	DM	DM			see note on antihistamines and steroids in allergic rhinitis	https://www.google.com/webhp#q=Dexamethasone	http://www.uptodate.com/contents/search?search=Dexamethasone	http://www.drugbank.ca/drugs/DB01234	http://www.disease-ontology.org/term/DOID%3A4481	TRUE	FALSE	TRUE
Dexamethasone	ankylosing spondylitis	SYM	DM	DM				https://www.google.com/webhp#q=Dexamethasone	http://www.uptodate.com/contents/search?search=Dexamethasone	http://www.drugbank.ca/drugs/DB01234	http://www.disease-ontology.org/term/DOID%3A7147	TRUE	FALSE	TRUE
Dexamethasone	atopic dermatitis	SYM	DM	DM			see notes on atopic dermatitis	https://www.google.com/webhp#q=Dexamethasone	http://www.uptodate.com/contents/search?search=Dexamethasone	http://www.drugbank.ca/drugs/DB01234	http://www.disease-ontology.org/term/DOID%3A3310	TRUE	FALSE	TRUE
Dexamethasone	breast cancer	SYM	NOT	SYM		Helps with side effects of meds	see notes on steroids in cancers	https://www.google.com/webhp#q=Dexamethasone	http://www.uptodate.com/contents/search?search=Dexamethasone	http://www.drugbank.ca/drugs/DB01234	http://www.disease-ontology.org/term/DOID%3A1612	TRUE	FALSE	TRUE
Dexamethasone	colon cancer	SYM	NOT	SYM			see notes on steroids in cancers	https://www.google.com/webhp#q=Dexamethasone	http://www.uptodate.com/contents/search?search=Dexamethasone	http://www.drugbank.ca/drugs/DB01234	http://www.disease-ontology.org/term/DOID%3A219	TRUE	FALSE	TRUE
Dexamethasone	hematologic cancer	SYM	NOT	DM			see notes on steroids in cancers	https://www.google.com/webhp#q=Dexamethasone	http://www.uptodate.com/contents/search?search=Dexamethasone	http://www.drugbank.ca/drugs/DB01234	http://www.disease-ontology.org/term/DOID%3A2531	TRUE	FALSE	FALSE
Dexamethasone	kidney cancer	SYM	NOT	SYM			see notes on steroids in cancers	https://www.google.com/webhp#q=Dexamethasone	http://www.uptodate.com/contents/search?search=Dexamethasone	http://www.drugbank.ca/drugs/DB01234	http://www.disease-ontology.org/term/DOID%3A263	TRUE	FALSE	TRUE
Dexamethasone	prostate cancer	SYM	NOT	SYM			see notes on steroids in cancers	https://www.google.com/webhp#q=Dexamethasone	http://www.uptodate.com/contents/search?search=Dexamethasone	http://www.drugbank.ca/drugs/DB01234	http://www.disease-ontology.org/term/DOID%3A10283	TRUE	FALSE	TRUE
Dexrazoxane	breast cancer	NOT	SYM	NOT			prevents side effect of med	https://www.google.com/webhp#q=Dexrazoxane	http://www.uptodate.com/contents/search?search=Dexrazoxane	http://www.drugbank.ca/drugs/DB00380	http://www.disease-ontology.org/term/DOID%3A1612	TRUE	FALSE	TRUE
Dextrothyroxine	Graves' disease	NOT	SYM	NOT				https://www.google.com/webhp#q=Dextrothyroxine	http://www.uptodate.com/contents/search?search=Dextrothyroxine	http://www.drugbank.ca/drugs/DB00509	http://www.disease-ontology.org/term/DOID%3A12361	TRUE	FALSE	TRUE
Dextrothyroxine	hypothyroidism	NOT	DM	DM			"tough call, but prevents complications of being in a hypothyroid state,therefore affects ""downstream biology"""	https://www.google.com/webhp#q=Dextrothyroxine	http://www.uptodate.com/contents/search?search=Dextrothyroxine	http://www.drugbank.ca/drugs/DB00509	http://www.disease-ontology.org/term/DOID%3A1459	TRUE	FALSE	TRUE
Diclofenamide	glaucoma	DM	SYM	DM			see notes on glaucoma	https://www.google.com/webhp#q=Diclofenamide	http://www.uptodate.com/contents/search?search=Diclofenamide	http://www.drugbank.ca/drugs/DB01144	http://www.disease-ontology.org/term/DOID%3A1686	TRUE	FALSE	TRUE
Diethylpropion	obesity	SYM	DM	DM			"uptodate ""Obesity in adults: Drug therapy"""	https://www.google.com/webhp#q=Diethylpropion	http://www.uptodate.com/contents/search?search=Diethylpropion	http://www.drugbank.ca/drugs/DB00937	http://www.disease-ontology.org/term/DOID%3A9970	TRUE	FALSE	TRUE
Diflunisal	osteoarthritis	SYM	DM	SYM			"see notes on osteoarthritis, NSAIDs and steroids"	https://www.google.com/webhp#q=Diflunisal	http://www.uptodate.com/contents/search?search=Diflunisal	http://www.drugbank.ca/drugs/DB00861	http://www.disease-ontology.org/term/DOID%3A8398	TRUE	FALSE	TRUE
Digoxin	dilated cardiomyopathy	DM	NOT	SYM			see uptodate: Overview of the therapy of heart failure with reduced ejection fraction	https://www.google.com/webhp#q=Digoxin	http://www.uptodate.com/contents/search?search=Digoxin	http://www.drugbank.ca/drugs/DB00390	http://www.disease-ontology.org/term/DOID%3A12930	TRUE	FALSE	FALSE
Diltiazem	coronary artery disease	NOT	SYM	SYM			see notes on coronary artery disease	https://www.google.com/webhp#q=Diltiazem	http://www.uptodate.com/contents/search?search=Diltiazem	http://www.drugbank.ca/drugs/DB00343	http://www.disease-ontology.org/term/DOID%3A3393	TRUE	FALSE	TRUE
Diltiazem	hypertension	DM	SYM	DM				https://www.google.com/webhp#q=Diltiazem	http://www.uptodate.com/contents/search?search=Diltiazem	http://www.drugbank.ca/drugs/DB00343	http://www.disease-ontology.org/term/DOID%3A10763	TRUE	FALSE	TRUE
Dimenhydrinate	Parkinson's disease	NOT	SYM	NOT				https://www.google.com/webhp#q=Dimenhydrinate	http://www.uptodate.com/contents/search?search=Dimenhydrinate	http://www.drugbank.ca/drugs/DB00985	http://www.disease-ontology.org/term/DOID%3A14330	TRUE	FALSE	TRUE
Dimenhydrinate	allergic rhinitis	SYM	NOT	DM			"it blocks histamine-H1 just like benadryl. Granted, one would never actually use this in clinic (you would just use benadryl given better efficacy and less side effects), but given the mechanism of action there is ""reasonable evidence of efficacy"""	https://www.google.com/webhp#q=Dimenhydrinate	http://www.uptodate.com/contents/search?search=Dimenhydrinate	http://www.drugbank.ca/drugs/DB00985	http://www.disease-ontology.org/term/DOID%3A4481	TRUE	FALSE	FALSE
Dimenhydrinate	atopic dermatitis	SYM	NOT	DM			"it blocks histamine-H1 just like benadryl. Granted, one would never actually use this in clinic (you would just use benadryl given better efficacy and less side effects), but given the mechanism of action there is ""reasonable evidence of efficacy"""	https://www.google.com/webhp#q=Dimenhydrinate	http://www.uptodate.com/contents/search?search=Dimenhydrinate	http://www.drugbank.ca/drugs/DB00985	http://www.disease-ontology.org/term/DOID%3A3310	TRUE	FALSE	FALSE
Dimenhydrinate	schizophrenia	NOT	SYM	SYM			I think you must put it with cyproheptadine (H1-antagonists)	https://www.google.com/webhp#q=Dimenhydrinate	http://www.uptodate.com/contents/search?search=Dimenhydrinate	http://www.drugbank.ca/drugs/DB00985	http://www.disease-ontology.org/term/DOID%3A5419	TRUE	FALSE	TRUE
Diphenhydramine	Parkinson's disease	SYM	NOT	SYM				https://www.google.com/webhp#q=Diphenhydramine	http://www.uptodate.com/contents/search?search=Diphenhydramine	http://www.drugbank.ca/drugs/DB01075	http://www.disease-ontology.org/term/DOID%3A14330	TRUE	FALSE	TRUE
Diphenhydramine	schizophrenia	SYM	NOT	SYM			I think you must put it with cyproheptadine (H1-antagonists)	https://www.google.com/webhp#q=Diphenhydramine	http://www.uptodate.com/contents/search?search=Diphenhydramine	http://www.drugbank.ca/drugs/DB01075	http://www.disease-ontology.org/term/DOID%3A5419	TRUE	FALSE	TRUE
Dipivefrin	glaucoma	DM	SYM	DM			see notes on glaucoma	https://www.google.com/webhp#q=Dipivefrin	http://www.uptodate.com/contents/search?search=Dipivefrin	http://www.drugbank.ca/drugs/DB00449	http://www.disease-ontology.org/term/DOID%3A1686	TRUE	FALSE	TRUE
Disulfiram	alcohol dependence	SYM	DM	DM				https://www.google.com/webhp#q=Disulfiram	http://www.uptodate.com/contents/search?search=Disulfiram	http://www.drugbank.ca/drugs/DB00822	http://www.disease-ontology.org/term/DOID%3A0050741	TRUE	FALSE	TRUE
Donepezil	Alzheimer's disease	SYM	DM	DM			"agreed with AJG. Though efficacy is incredibly low, it is designed to slow disease progression (downstream biology) rather than treat any current symptom per se"	https://www.google.com/webhp#q=Donepezil	http://www.uptodate.com/contents/search?search=Donepezil	http://www.drugbank.ca/drugs/DB00843	http://www.disease-ontology.org/term/DOID%3A10652	TRUE	FALSE	TRUE
Dopamine	hypertension	SYM	NOT	NOT			increases blood pressure! Worsens disease	https://www.google.com/webhp#q=Dopamine	http://www.uptodate.com/contents/search?search=Dopamine	http://www.drugbank.ca/drugs/DB00988	http://www.disease-ontology.org/term/DOID%3A10763	TRUE	FALSE	TRUE
Doxazosin	hypertension	DM	SYM	DM				https://www.google.com/webhp#q=Doxazosin	http://www.uptodate.com/contents/search?search=Doxazosin	http://www.drugbank.ca/drugs/DB00590	http://www.disease-ontology.org/term/DOID%3A10763	TRUE	FALSE	TRUE
Doxepin	atopic dermatitis	SYM	DM	SYM			"treats only the itching, not the biology"	https://www.google.com/webhp#q=Doxepin	http://www.uptodate.com/contents/search?search=Doxepin	http://www.drugbank.ca/drugs/DB01142	http://www.disease-ontology.org/term/DOID%3A3310	TRUE	FALSE	TRUE
Doxorubicin	acquired immunodeficiency syndrome	DM	NOT	NOT			"although doxorubicin attached to anti-HIV antibodies is promising, and doxorubicin treats many HIV-related cancers, doxorubicin per se does not treat HIV per se"	https://www.google.com/webhp#q=Doxorubicin	http://www.uptodate.com/contents/search?search=Doxorubicin	http://www.drugbank.ca/drugs/DB00997	http://www.disease-ontology.org/term/DOID%3A635	TRUE	FALSE	TRUE
Doxycycline	chronic obstructive pulmonary disease	SYM	NOT	SYM	tough decision		agree with CSH note	https://www.google.com/webhp#q=Doxycycline	http://www.uptodate.com/contents/search?search=Doxycycline	http://www.drugbank.ca/drugs/DB00254	http://www.disease-ontology.org/term/DOID%3A3083	TRUE	FALSE	TRUE
Doxycycline	malaria	DM	NOT	DM				https://www.google.com/webhp#q=Doxycycline	http://www.uptodate.com/contents/search?search=Doxycycline	http://www.drugbank.ca/drugs/DB00254	http://www.disease-ontology.org/term/DOID%3A12365	TRUE	FALSE	TRUE
Drospirenone	polycystic ovary syndrome	SYM	DM	SYM			agree with CSH that these don't change downstream biology of disease	https://www.google.com/webhp#q=Drospirenone	http://www.uptodate.com/contents/search?search=Drospirenone	http://www.drugbank.ca/drugs/DB01395	http://www.disease-ontology.org/term/DOID%3A11612	TRUE	FALSE	TRUE
Echothiophate	glaucoma	DM	SYM	DM	glaucoma is tough too.		see notes on glaucoma	https://www.google.com/webhp#q=Echothiophate	http://www.uptodate.com/contents/search?search=Echothiophate	http://www.drugbank.ca/drugs/DB01057	http://www.disease-ontology.org/term/DOID%3A1686	TRUE	FALSE	TRUE
Echothiophate	refractive error	SYM	NOT	NOT			not aware of it's use in pure refractive error	https://www.google.com/webhp#q=Echothiophate	http://www.uptodate.com/contents/search?search=Echothiophate	http://www.drugbank.ca/drugs/DB01057	http://www.disease-ontology.org/term/DOID%3A9835	TRUE	FALSE	TRUE
Enalapril	coronary artery disease	SYM	DM	DM			see notes on coronary artery disease	https://www.google.com/webhp#q=Enalapril	http://www.uptodate.com/contents/search?search=Enalapril	http://www.drugbank.ca/drugs/DB00584	http://www.disease-ontology.org/term/DOID%3A3393	TRUE	FALSE	TRUE
Epinephrine	glaucoma	SYM	NOT	SYM			see notes on glaucoma	https://www.google.com/webhp#q=Epinephrine	http://www.uptodate.com/contents/search?search=Epinephrine	http://www.drugbank.ca/drugs/DB00668	http://www.disease-ontology.org/term/DOID%3A1686	TRUE	FALSE	TRUE
Epirubicin	acquired immunodeficiency syndrome	DM	NOT	NOT		Usec to treat complicaton of AIDS	same as doxorubicin	https://www.google.com/webhp#q=Epirubicin	http://www.uptodate.com/contents/search?search=Epirubicin	http://www.drugbank.ca/drugs/DB00445	http://www.disease-ontology.org/term/DOID%3A635	TRUE	FALSE	TRUE
Epirubicin	peripheral nervous system neoplasm	DM	NOT	DM			should match doxorubicin	https://www.google.com/webhp#q=Epirubicin	http://www.uptodate.com/contents/search?search=Epirubicin	http://www.drugbank.ca/drugs/DB00445	http://www.disease-ontology.org/term/DOID%3A1192	TRUE	FALSE	TRUE
Eplerenone	hypertension	DM	SYM	DM				https://www.google.com/webhp#q=Eplerenone	http://www.uptodate.com/contents/search?search=Eplerenone	http://www.drugbank.ca/drugs/DB00700	http://www.disease-ontology.org/term/DOID%3A10763	TRUE	FALSE	TRUE
Epoprostenol	systemic scleroderma	NOT	DM	SYM	?raynauds		"not aware of disease modification, agree with CSH comment re: symptom"	https://www.google.com/webhp#q=Epoprostenol	http://www.uptodate.com/contents/search?search=Epoprostenol	http://www.drugbank.ca/drugs/DB01240	http://www.disease-ontology.org/term/DOID%3A418	TRUE	FALSE	FALSE
Ergocalciferol	metabolic syndrome X	SYM	DM	NOT			would you give this med to anyone who has metabolic syndrome X but does not also have vitamin D deficiency?	https://www.google.com/webhp#q=Ergocalciferol	http://www.uptodate.com/contents/search?search=Ergocalciferol	http://www.drugbank.ca/drugs/DB00153	http://www.disease-ontology.org/term/DOID%3A14221	TRUE	FALSE	FALSE
Ergocalciferol	osteoporosis	SYM	DM	DM				https://www.google.com/webhp#q=Ergocalciferol	http://www.uptodate.com/contents/search?search=Ergocalciferol	http://www.drugbank.ca/drugs/DB00153	http://www.disease-ontology.org/term/DOID%3A11476	TRUE	FALSE	TRUE
Ergocalciferol	rheumatoid arthritis	SYM	DM	DM			"decreases disease activity. I would also agree with putting ""NOT"", since it probably only works in RA if you also have vitamin D deficiency"	https://www.google.com/webhp#q=Ergocalciferol	http://www.uptodate.com/contents/search?search=Ergocalciferol	http://www.drugbank.ca/drugs/DB00153	http://www.disease-ontology.org/term/DOID%3A7148	TRUE	FALSE	TRUE
Esmolol	hypertension	DM	SYM	DM				https://www.google.com/webhp#q=Esmolol	http://www.uptodate.com/contents/search?search=Esmolol	http://www.drugbank.ca/drugs/DB00187	http://www.disease-ontology.org/term/DOID%3A10763	TRUE	FALSE	TRUE
Esomeprazole	ankylosing spondylitis	NOT	SYM	NOT			treats drug side effect	https://www.google.com/webhp#q=Esomeprazole	http://www.uptodate.com/contents/search?search=Esomeprazole	http://www.drugbank.ca/drugs/DB00736	http://www.disease-ontology.org/term/DOID%3A7147	TRUE	FALSE	TRUE
Esomeprazole	kidney cancer	NOT	SYM	SYM				https://www.google.com/webhp#q=Esomeprazole	http://www.uptodate.com/contents/search?search=Esomeprazole	http://www.drugbank.ca/drugs/DB00736	http://www.disease-ontology.org/term/DOID%3A263	TRUE	FALSE	TRUE
Esomeprazole	prostate cancer	NOT	SYM	SYM				https://www.google.com/webhp#q=Esomeprazole	http://www.uptodate.com/contents/search?search=Esomeprazole	http://www.drugbank.ca/drugs/DB00736	http://www.disease-ontology.org/term/DOID%3A10283	TRUE	FALSE	TRUE
Esomeprazole	rheumatoid arthritis	NOT	SYM	NOT			"should match other ""-prazoles"""	https://www.google.com/webhp#q=Esomeprazole	http://www.uptodate.com/contents/search?search=Esomeprazole	http://www.drugbank.ca/drugs/DB00736	http://www.disease-ontology.org/term/DOID%3A7148	TRUE	FALSE	TRUE
Esomeprazole	systemic lupus erythematosus	NOT	SYM	NOT	"weird, maybe b/c a lot of these diseases rx steroids/ppi combo"		"treats side effect of steroids, should match omeprazole"	https://www.google.com/webhp#q=Esomeprazole	http://www.uptodate.com/contents/search?search=Esomeprazole	http://www.drugbank.ca/drugs/DB00736	http://www.disease-ontology.org/term/DOID%3A9074	TRUE	FALSE	TRUE
Esomeprazole	systemic scleroderma	NOT	SYM	SYM			to match omeprazole	https://www.google.com/webhp#q=Esomeprazole	http://www.uptodate.com/contents/search?search=Esomeprazole	http://www.drugbank.ca/drugs/DB00736	http://www.disease-ontology.org/term/DOID%3A418	TRUE	FALSE	TRUE
Estradiol	breast cancer	DM	NOT	SYM		Worsens	it can CAUSE breast cancer but it palliates symptoms in metastatic breast cancer	https://www.google.com/webhp#q=Estradiol	http://www.uptodate.com/contents/search?search=Estradiol	http://www.drugbank.ca/drugs/DB00783	http://www.disease-ontology.org/term/DOID%3A1612	TRUE	FALSE	FALSE
Estradiol	coronary artery disease	NOT	DM	NOT		worsening	the American Heart Association recommends against using postmenopausal hormone therapy to reduce the risk of coronary heart disease or stroke because some studies have shown it appears to not reduce the risk.	https://www.google.com/webhp#q=Estradiol	http://www.uptodate.com/contents/search?search=Estradiol	http://www.drugbank.ca/drugs/DB00783	http://www.disease-ontology.org/term/DOID%3A3393	TRUE	FALSE	TRUE
